TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
89,107,124,130,,,,,03-Nov-2017 01:43:14,03-Nov-2017 01:47:33,03-Nov-2017 01:45:26,4916.59523035214,-1721.0403267604,4899.49005494805,-1745.68607638169,4933.70040575622,-1696.39457713911,23.8519021672864,-173.733393650414,4929.83752970403,-1754.57600191202,4907.03062916525,-1787.43700140707,4952.64443024282,-1721.71500241696,23.8515993655705,-173.733263642341,1390,1360,1420,1370,1330,1410
86,95,110,118,,,,,03-Nov-2017 01:43:22,03-Nov-2017 01:47:47,03-Nov-2017 01:46:06,5040.1282983408,-2086.74455303255,5028.72484807141,-2103.17505278007,5045.83002347549,-2078.52930315878,23.8486001354438,-173.732180847737,5048.34354821456,-2092.44627816724,5036.94009794517,-2108.87677791477,5054.04527334926,-2084.23102829348,23.8485486531895,-173.732100193405,1160,1140,1170,1160,1140,1170
90,98,112,122,,,,,03-Nov-2017 01:43:15,03-Nov-2017 01:46:28,03-Nov-2017 01:45:53,5254.28032872018,-1760.64808282107,5231.4734281814,-1793.50908231612,5277.08722925897,-1727.78708332601,23.8515445392845,-173.730078381085,5177.64437723007,-1853.52935617154,5154.83747669128,-1886.39035566659,5200.45127776885,-1820.66835667648,23.8507058918198,-173.73083076495,1550,1510,1590,1430,1390,1470
87,103,116,127,133,,,,03-Nov-2017 01:43:09,03-Nov-2017 01:48:27,03-Nov-2017 01:47:20,5786.12840155011,-1801.11569242547,5763.32150101133,-1833.97669192052,5814.63702722359,-1760.03944305665,23.8511791474572,-173.724856890376,5755.10625113756,-1828.27496678583,5726.59762546408,-1869.35121615465,5777.91315167635,-1795.41396729077,23.8509339198051,-173.725161454553,1820,1780,1870,1780,1730,1820
104,123,132,,,,,,03-Nov-2017 01:44:42,03-Nov-2017 01:48:10,03-Nov-2017 01:46:55,5541.32457653253,-1838.14388785492,5512.81595085905,-1879.22013722374,5575.53492734071,-1788.85238861234,23.8508448109316,-173.727260285186,5555.24155154099,-1835.63036311585,5503.92602532872,-1909.56761197973,5612.25880288795,-1753.47786437822,23.850867506154,-173.727123653393,1650,1600,1710,1660,1570,1760
69,119,126,128,,,,,03-Nov-2017 01:44:55,03-Nov-2017 01:50:37,03-Nov-2017 01:48:07,5725.55259403317,-2221.62796518772,5714.14914376377,-2238.05846493524,5731.25431916786,-2213.41271531395,23.8473822405167,-173.725451601596,5745.17129417632,-2210.89919057489,5728.06611877223,-2235.54494019618,5762.27646958041,-2186.25344095359,23.8474791132156,-173.725258992342,1440,1420,1450,1460,1430,1490
120,131,140,146,,,,,03-Nov-2017 01:46:19,03-Nov-2017 01:53:40,03-Nov-2017 01:50:05,6651.12402103933,-1975.42168275413,6639.72057076994,-1991.85218250166,6662.52747130873,-1958.9911830066,23.8496052965441,-173.716364678369,6662.52747130873,-1958.9911830066,6639.72057076994,-1991.85218250166,6685.33437184751,-1926.13018351155,23.8497536514972,-173.716252723447,2170,2150,2190,2190,2150,2230
136,141,143,144,148,,,,03-Nov-2017 01:49:44,03-Nov-2017 01:52:47,03-Nov-2017 01:49:48,6325.63619059227,-2321.62635087815,6291.42583978409,-2370.91785012073,6359.84654140045,-2272.33485163557,23.8464793309246,-173.719560199363,6371.24999166984,-2255.90435188804,6308.53101518818,-2346.27210049944,6428.2672430168,-2173.7518531504,23.8470727507372,-173.719112379674,1700,1640,1760,1780,1670,1880
134,139,142,152,,,,,03-Nov-2017 01:48:29,07-Sep-4035 03:47:22,03-Nov-2017 01:52:01,6721.62185572826,-2803.3891068139,6710.21840545886,-2819.81960656143,6733.02530599765,-2786.95860706637,23.8421293785685,-173.7156725563,6712.73193019793,-2833.73658156989,6701.32847992854,-2850.16708131741,6729.83710560202,-2809.0908319486,23.8418553638846,-173.715759834351,1530,1510,1550,1500,1480,1530
100,109,129,,,,,,03-Nov-2017 01:44:13,03-Nov-2017 01:47:08,03-Nov-2017 01:45:13,6444.89585044076,-395.937608237525,6296.65099693866,-609.534104955382,6621.64932961634,-141.264862150851,23.8638668399837,-173.718389351451,6343.61414932935,-471.713706183906,6189.66757069256,-693.525452775525,6531.77107877433,-200.610460349704,23.8631826392817,-173.719383698311,3350,3090,3660,3230,2960,3560
99,117,,,,,,,03-Nov-2017 01:44:09,03-Nov-2017 01:45:54,03-Nov-2017 01:44:09,5040.26037012509,-893.932756244368,4926.22586743117,-1058.23775371964,5182.80349849249,-688.551509400276,23.8593703214365,-173.732179551104,5071.28252053764,-866.77348188401,4923.03766703554,-1080.36997860187,5242.33427457852,-620.315985671099,23.8596155490886,-173.731874986928,2140,1940,2390,2180,1920,2480
135,137,145,149,,,,,03-Nov-2017 01:48:34,03-Nov-2017 01:53:24,03-Nov-2017 01:51:10,6534.5099577142,-2722.21560361503,6511.70305717541,-2755.07660311009,6551.61513311829,-2697.56985399374,23.842862313747,-173.717509552778,6504.65198072759,-2835.39025276522,6487.54680532351,-2860.03600238651,6527.45888126638,-2802.52925327016,23.8418404324877,-173.717802687524,1490,1450,1520,1380,1350,1420
