Cruise,AC_ID,VIS_ID,Detection Type,Mixed Species Encounter (Y/N),Array Processing Name,Hydrophones Used,Banter Score,Localization_Status,Stock,Stock Justification,Stock Overlap,LAT_AC,LON_AC,Start_Time,End_Time,Processed_StartTime,Processed_EndTime,LAT_AC_END,LON_AC_END,Notes
2023 HICEAS,2303178,S128,P2 - Vis Confirm,,Iiwi_30m_Moli_23,"1,6",0.7983,3. Completed,NWHIorHIPelagic,Not possible to assign to stock with available information at present,,25.30256667,-172.1195,09/27/2023 2:49:25,09/27/2023 3:55:28,,,25.28653,-171.931,
2024 SCOPE,2404013,N/A,AC,,Iiwi_30m_Moli_24,"1,6",0.5208,4. Paused,HIPelagic,Within HI pelagic assessment area,,16.16832333,-153.3140033,04/26/2024 19:53:40,04/26/2024 21:22:32,,04/26/2024 20:28:00,16.13234,-153.251,Noise mixed into EC data. Most likely leading to a lower banter score.
2024 SCOPE,2404018,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_24,"1,6",0.8893,3. Completed,UnkPelagic,Outside HI pelagic assessment area,,14.908085,-151.2995617,4/27/2024 15:22:56,4/27/2024 16:17:38,,,14.83887,-151.264,
2024 SCOPE,2404057,N/A,AC - outside 3 nmi,,Iiwi_30m_Moli_24,"1,6",0.691,3. Completed,UnkPelagic,Outside HI pelagic assessment area,,10.70544667,-148.0696367,05/04/2024 0:13:32,05/04/2024 1:16:57,,05/04/2024 0:44:52,10.65152,-148.125,
2024 SCOPE,2404105,N/A,AC - outside 3 nmi,,Kolea_30m_Moli_24,"1,6",0.7626,3. Completed,UnkPelagic,Outside HI pelagic assessment area,Just outside HI pelagic assessment area,16.246605,-149.61088,05/12/2024 23:09:29,05/13/2024 3:22:32,,05/12/2024 23:51:00,16.16389,-149.697,
2024 SCOPE,2404070,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_24,"1,6",0.8143,3. Completed,UnkPelagic,Outside HI pelagic assessment area,,8.745823333,-146.83344,05/05/2024 22:53:55,05/06/2024 0:20:30,,05/06/2024 23:38:00,8.775177,-146.771,
2024 SCOPE,2404121,N/A,AC - w/in 3 nmi,,Kolea_30m_Moli_24,"1,6",0.7374,3. Completed,UnkPelagic,Outside HI pelagic assessment area,,14.43473,-155.0286367,05/15/2024 0:04:25,05/15/2024 3:48:07,,05/15/2024 1:00:14,14.46183,-155.189,
2024 SCOPE,2404126,S015,Visual,,Kolea_30m_Moli_24,"1,6",0.8657,3. Completed,HIPelagic,Within HI pelagic assessment area,,15.06285833,-157.1685783,05/15/2024 16:22:03,05/15/2024 22:15:27,,05/15/2024 17:26:33,15.11961,-157.349,
2024 SCOPE,2404123,S014,Visual,YES,Kolea_30m_Moli_24,"1,6",n/a,4. Paused,UnkPelagic,Outside HI pelagic assessment area,,14.48565167,-155.317955,05/15/2024 3:33:48,05/15/2024 4:28:48,,05/15/2024 3:52:39,14.51,-155.37,Mixed species encounter (32/33). Banter score is not valid.
2024 SCOPE,2404021,S004,Visual,,Iiwi_30m_Moli_24,"1,6",0.9455,4. Paused,UnkPelagic,Outside HI pelagic assessment area,,14.33394,-151.78217,04/27/2024 20:53:49,04/27/2024 23:37:39,,04/27/2024 21:22:00,14.27994,-151.837,All localization effort in the field was done at angles less than 30 degrees. Can't complete traces with this process.
2024 SCOPE,2404091,S008,Visual,,Kolea_30m_Moli_24,"1,6",0.9194,3. Completed,UnkPelagic,Outside HI pelagic assessment area,,14.06362333,-146.934005,05/09/2024 21:42:34,05/10/2024 1:50:31,,05/10/2024 22:38:19,14.21416,-146.934,
2024 SCOPE,2404128,S017,Visual,,Kolea_30m_Moli_24,"1,6",0.9064,3. Completed,UnkPelagic,Outside HI pelagic assessment area,,16.189255,-160.88628,05/16/2024 18:20:38,05/17/2024 1:59:35,,05/16/2024 19:04:00,16.24136,-160.999,
2024 SCOPE,2404100,S011,Visual,,Kolea_30m_Moli_24,"1,6",n/a,4. Paused,UnkPelagic,Outside HI pelagic assessment area,,15.63424167,-148.4801583,05/11/2024 19:13:19,05/12/2024 0:16:42,,05/11/2024 19:51:00,15.73752,-148.479,FKW detected after the beam during sperm whale encounter. Can't localize and banter score is messed up due to sperm whale signals.
